time,us_aqi,pm10,pm2_5,ozone,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,temperature_2m,relative_humidity_2m,wind_speed_10m,cloud_cover,precipitation,dayofweek,hour,month
2025-04-26 00:00:00,72.0,40.5,19.8,70.0,449.0,16.5,8.0,27.717001,62.0,25.683926,0.0,0.0,5,0,4
2025-04-26 01:00:00,72.0,37.0,18.7,71.0,322.0,14.2,7.6,27.167,67.0,24.014996,0.0,0.0,5,1,4
2025-04-26 02:00:00,72.0,34.7,16.9,72.0,228.0,12.2,7.3,27.467001,70.0,23.936617,0.0,0.0,5,2,4
2025-04-26 03:00:00,72.0,35.4,15.6,74.0,184.0,9.7,7.0,29.367,59.0,24.448214,0.0,0.0,5,3,4
2025-04-26 04:00:00,71.0,38.9,15.1,75.0,173.0,7.5,6.9,31.567001,47.0,21.829777,0.0,0.0,5,4,4
2025-04-26 05:00:00,71.0,41.2,14.7,81.0,208.0,6.2,6.7,33.967,37.0,24.087738,0.0,0.0,5,5,4
2025-04-26 06:00:00,71.0,46.3,16.2,74.0,332.0,12.5,7.9,35.467,32.0,24.933735,0.0,0.0,5,6,4
2025-04-26 07:00:00,70.0,49.0,19.6,66.0,501.0,20.9,9.7,36.767002,27.0,25.325686,0.0,0.0,5,7,4
2025-04-26 08:00:00,70.0,53.3,23.5,68.0,597.0,25.6,12.0,37.367,26.0,25.6233,0.0,0.0,5,8,4
2025-04-26 09:00:00,70.0,66.8,25.1,89.0,547.0,23.1,15.4,37.167,27.0,25.922499,0.0,0.0,5,9,4
2025-04-26 10:00:00,70.0,80.6,27.9,121.0,424.0,16.8,19.4,36.767002,29.0,28.528723,0.0,0.0,5,10,4
2025-04-26 11:00:00,70.0,93.4,31.4,147.0,325.0,11.6,22.1,35.867,32.0,31.450073,0.0,0.0,5,11,4
2025-04-26 12:00:00,71.0,105.0,34.1,163.0,285.0,9.0,22.7,34.467,38.0,27.748037,0.0,0.0,5,12,4
2025-04-26 13:00:00,71.0,112.5,34.8,174.0,270.0,7.4,22.0,33.267002,40.0,27.645092,0.0,0.0,5,13,4
2025-04-26 14:00:00,72.0,107.1,34.7,175.0,272.0,7.1,20.5,31.667,47.0,23.110207,0.0,0.0,5,14,4
2025-04-26 15:00:00,80.0,103.8,35.3,161.0,296.0,8.4,17.8,30.767,52.0,17.81909,5.0,0.0,5,15,4
2025-04-26 16:00:00,100.0,101.3,34.7,136.0,338.0,11.1,14.3,30.467001,53.0,15.226764,6.0,0.0,5,16,4
2025-04-26 17:00:00,115.0,92.7,33.1,120.0,376.0,16.3,13.5,30.067001,55.0,14.618837,6.0,0.0,5,17,4
2025-04-26 18:00:00,121.0,78.2,31.1,100.0,405.0,22.6,12.3,29.667,58.0,15.111424,20.0,0.0,5,18,4
2025-04-26 19:00:00,117.0,77.1,29.3,73.0,430.0,31.2,10.7,29.167,62.0,14.759999,8.0,0.0,5,19,4
2025-04-26 20:00:00,101.0,68.0,27.7,53.0,452.0,37.1,9.7,28.767,64.0,15.4800005,46.0,0.0,5,20,4
2025-04-26 21:00:00,78.0,68.5,26.7,47.0,475.0,37.9,9.8,28.367,66.0,17.057314,6.0,0.0,5,21,4
2025-04-26 22:00:00,78.0,65.9,26.8,48.0,493.0,36.0,10.5,28.067001,67.0,19.110542,5.0,0.0,5,22,4
2025-04-26 23:00:00,79.0,66.4,27.6,50.0,491.0,33.6,11.0,27.767,69.0,20.418695,6.0,0.0,5,23,4
2025-04-27 00:00:00,79.0,65.9,28.3,50.0,453.0,31.1,10.7,27.567001,72.0,22.26477,5.0,0.0,6,0,4
2025-04-27 01:00:00,80.0,65.7,28.2,51.0,394.0,28.1,10.2,27.317001,76.0,22.805367,85.0,0.0,6,1,4
2025-04-27 02:00:00,81.0,68.2,28.0,52.0,340.0,25.5,10.0,27.867,75.0,21.349546,0.0,0.0,6,2,4
2025-04-27 03:00:00,82.0,76.8,29.4,53.0,281.0,23.4,10.5,29.767,61.0,24.522316,0.0,0.0,6,3,4
2025-04-27 04:00:00,83.0,81.3,30.3,53.0,228.0,21.8,11.3,32.067,47.0,25.651104,0.0,0.0,6,4,4
2025-04-27 05:00:00,85.0,74.5,25.5,59.0,237.0,13.7,9.0,33.567,40.0,27.36947,5.0,0.0,6,5,4
2025-04-27 06:00:00,86.0,71.2,25.6,57.0,381.0,17.0,9.5,34.567,37.0,28.981676,6.0,0.0,6,6,4
2025-04-27 07:00:00,86.0,65.2,27.0,56.0,586.0,21.2,10.2,35.667,33.0,31.212229,37.0,0.0,6,7,4
2025-04-27 08:00:00,87.0,69.2,28.5,61.0,693.0,22.8,11.2,36.067,32.0,31.883888,5.0,0.0,6,8,4
2025-04-27 09:00:00,88.0,78.2,28.5,79.0,598.0,19.0,12.8,36.067,32.0,32.136932,0.0,0.0,6,9,4
2025-04-27 10:00:00,88.0,77.1,28.7,104.0,405.0,12.6,14.7,36.267002,30.0,32.68871,0.0,0.0,6,10,4
2025-04-27 11:00:00,88.0,79.4,29.6,123.0,258.0,7.5,15.8,35.967,29.0,31.559088,0.0,0.0,6,11,4
2025-04-27 12:00:00,88.0,81.7,30.4,130.0,220.0,5.3,15.4,35.167,31.0,30.574575,0.0,0.0,6,12,4
2025-04-27 13:00:00,87.0,83.4,30.3,130.0,228.0,4.5,14.3,33.467,39.0,26.208395,0.0,0.0,6,13,4
2025-04-27 14:00:00,87.0,84.3,29.8,128.0,247.0,4.7,13.2,31.767,49.0,20.188908,0.0,0.0,6,14,4
2025-04-27 15:00:00,87.0,80.3,29.0,124.0,262.0,5.8,12.6,31.067001,52.0,19.48661,0.0,0.0,6,15,4
2025-04-27 16:00:00,86.0,73.6,27.8,117.0,287.0,7.9,12.0,30.667,54.0,20.008356,6.0,0.0,6,16,4
2025-04-27 17:00:00,85.0,72.2,27.9,106.0,327.0,11.1,12.2,30.467001,53.0,19.917469,7.0,0.0,6,17,4
2025-04-27 18:00:00,85.0,65.4,27.4,92.0,391.0,17.4,11.9,30.167,57.0,19.45333,100.0,0.0,6,18,4
2025-04-27 19:00:00,85.0,57.5,27.6,72.0,469.0,25.9,11.6,29.567001,62.0,18.36353,11.0,0.0,6,19,4
2025-04-27 20:00:00,84.0,59.1,27.8,57.0,540.0,31.7,11.2,29.067001,65.0,19.813087,5.0,0.0,6,20,4
2025-04-27 21:00:00,84.0,60.5,27.4,52.0,617.0,32.3,10.9,28.767,68.0,22.319998,5.0,0.0,6,21,4
2025-04-27 22:00:00,85.0,60.1,27.1,51.0,687.0,30.2,10.7,28.567001,69.0,24.122683,0.0,0.0,6,22,4
2025-04-27 23:00:00,85.0,59.5,27.0,52.0,688.0,27.3,10.3,28.367,70.0,24.546085,0.0,0.0,6,23,4
2025-04-28 00:00:00,84.0,57.5,26.3,53.0,559.0,24.0,9.6,28.267,70.0,23.893261,5.0,0.0,0,0,4
2025-04-28 01:00:00,84.0,54.2,25.0,55.0,361.0,20.0,8.7,27.867,73.0,20.883104,6.0,0.0,0,1,4
2025-04-28 02:00:00,84.0,51.5,23.4,57.0,214.0,16.5,8.0,28.267,73.0,22.33161,6.0,0.0,0,2,4
2025-04-28 03:00:00,84.0,49.8,22.2,59.0,160.0,13.4,7.7,30.267,59.0,25.455843,0.0,0.0,0,3,4
2025-04-28 04:00:00,83.0,48.1,21.2,61.0,157.0,10.8,7.5,32.767002,42.0,28.47643,7.0,0.0,0,4,4
2025-04-28 05:00:00,82.0,44.1,19.9,63.0,202.0,9.3,7.5,34.867,31.0,34.217045,20.0,0.0,0,5,4
2025-04-28 06:00:00,82.0,42.4,19.6,61.0,337.0,13.0,8.1,36.067,27.0,37.441727,6.0,0.0,0,6,4
2025-04-28 07:00:00,81.0,41.4,20.8,59.0,519.0,17.8,8.9,36.767002,26.0,38.921646,0.0,0.0,0,7,4
2025-04-28 08:00:00,81.0,42.7,22.9,63.0,614.0,20.1,9.9,37.367,24.0,39.04631,0.0,0.0,0,8,4
2025-04-28 09:00:00,80.0,47.3,23.4,80.0,534.0,17.4,11.2,37.767002,22.0,40.03938,5.0,0.0,0,9,4
2025-04-28 10:00:00,80.0,54.5,24.4,104.0,367.0,12.0,12.6,37.567,22.0,40.276585,10.0,0.0,0,10,4
2025-04-28 11:00:00,79.0,65.0,26.3,122.0,241.0,7.8,13.5,36.867,24.0,38.26852,64.0,0.0,0,11,4
2025-04-28 12:00:00,79.0,72.6,27.5,131.0,211.0,5.9,13.5,35.567,29.0,39.125893,6.0,0.0,0,12,4
2025-04-28 13:00:00,79.0,71.9,27.7,134.0,222.0,5.0,13.0,33.767002,37.0,37.038033,0.0,0.0,0,13,4
2025-04-28 14:00:00,78.0,67.3,26.8,133.0,242.0,5.1,12.4,32.067,47.0,33.588207,0.0,0.0,0,14,4
2025-04-28 15:00:00,78.0,58.2,24.6,126.0,256.0,6.0,11.9,31.467001,49.0,27.792374,0.0,0.0,0,15,4
2025-04-28 16:00:00,78.0,49.6,22.1,115.0,278.0,7.9,11.4,31.167,49.0,24.29133,6.0,0.0,0,16,4
2025-04-28 17:00:00,77.0,39.7,18.7,104.0,317.0,11.1,11.3,30.967001,50.0,23.0653,15.0,0.0,0,17,4
2025-04-28 18:00:00,77.0,34.3,18.0,91.0,390.0,16.1,10.9,30.567001,52.0,21.707731,0.0,0.0,0,18,4
2025-04-28 19:00:00,76.0,32.4,18.5,74.0,479.0,22.9,10.4,30.067001,56.0,23.0653,0.0,0.0,0,19,4
2025-04-28 20:00:00,75.0,32.0,18.5,62.0,540.0,27.5,10.0,29.767,57.0,25.959969,0.0,0.0,0,20,4
2025-04-28 21:00:00,74.0,31.4,18.6,59.0,561.0,28.2,9.8,29.667,57.0,27.757376,0.0,0.0,0,21,4
2025-04-28 22:00:00,73.0,31.1,18.7,61.0,554.0,26.7,9.7,29.567001,56.0,27.238941,6.0,0.0,0,22,4
2025-04-28 23:00:00,73.0,30.6,18.5,65.0,513.0,24.2,9.3,29.267,58.0,26.400545,7.0,0.0,0,23,4
