time,pm10,pm2_5,ozone,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,temperature_2m,relative_humidity_2m,wind_speed_10m,cloud_cover,precipitation,dayofweek,hour,month,city,predicted_us_aqi
2025-08-14 00:00:00,43.9,20.9,29.0,366.0,21.4,12.4,28.0,89,6.1,100,0.0,3,0,8,0,63.948564934117115
2025-08-14 01:00:00,41.6,20.2,29.0,377.0,19.6,11.3,27.9,89,5.6,100,0.0,3,1,8,0,64.71405721840894
2025-08-14 02:00:00,39.7,19.7,29.0,375.0,18.5,10.9,27.8,89,4.5,98,0.0,3,2,8,0,65.60264865276895
2025-08-14 03:00:00,39.8,19.9,27.0,336.0,18.9,11.4,27.8,89,5.0,99,0.0,3,3,8,0,65.06257197543579
2025-08-14 04:00:00,45.4,21.1,24.0,284.0,20.1,12.4,27.7,90,5.4,98,0.0,3,4,8,0,65.34135574670104
2025-08-14 05:00:00,41.4,20.9,23.0,267.0,20.6,13.9,27.6,90,4.3,99,0.0,3,5,8,0,65.06015682704827
2025-08-14 06:00:00,38.1,20.5,25.0,329.0,20.2,16.1,27.6,91,1.9,97,0.0,3,6,8,0,66.0281065230368
2025-08-14 07:00:00,42.4,21.9,29.0,428.0,19.3,18.7,27.6,91,2.5,100,0.0,3,7,8,0,67.82196240326394
2025-08-14 08:00:00,48.3,21.7,35.0,481.0,17.5,20.4,27.9,89,4.7,94,0.0,3,8,8,0,68.14088492964754
2025-08-14 09:00:00,53.4,21.0,45.0,440.0,14.3,20.7,28.5,85,7.0,99,0.0,3,9,8,0,68.77632316824277
2025-08-14 10:00:00,60.3,22.2,57.0,355.0,10.3,20.2,29.0,83,7.8,100,0.0,3,10,8,0,72.21826541076426
2025-08-14 11:00:00,62.4,23.1,68.0,291.0,7.1,19.2,29.7,78,7.9,94,0.0,3,11,8,0,75.39924381197683
2025-08-14 12:00:00,67.3,24.7,78.0,277.0,5.3,17.7,29.7,78,9.6,100,0.0,3,12,8,0,79.406996985489
2025-08-14 13:00:00,71.7,25.8,86.0,285.0,4.3,15.7,29.9,77,7.9,100,0.0,3,13,8,0,84.62890473507784
2025-08-14 14:00:00,76.1,26.5,90.0,300.0,4.1,14.3,30.0,76,9.8,99,0.0,3,14,8,0,86.55126920554102
2025-08-14 15:00:00,76.4,26.2,86.0,322.0,4.6,14.0,30.0,77,11.7,100,0.0,3,15,8,0,85.09192674928286
2025-08-14 16:00:00,72.6,24.7,77.0,352.0,5.9,14.2,29.5,79,11.1,100,0.0,3,16,8,0,83.15038346258008
2025-08-14 17:00:00,63.3,22.4,67.0,375.0,8.5,14.3,29.0,83,9.8,100,0.0,3,17,8,0,80.17234134365812
2025-08-14 18:00:00,54.2,20.4,54.0,391.0,13.5,14.2,28.8,84,9.8,100,0.0,3,18,8,0,75.87143750576271
2025-08-14 19:00:00,48.3,19.3,40.0,400.0,19.7,13.9,28.6,86,9.1,100,0.0,3,19,8,0,72.65144537187024
2025-08-14 20:00:00,47.5,19.3,29.0,396.0,24.6,13.8,28.3,88,7.3,100,0.0,3,20,8,0,71.9401742372745
2025-08-14 21:00:00,48.2,19.5,25.0,369.0,27.0,13.9,28.2,89,4.3,100,0.0,3,21,8,0,73.33356161352978
2025-08-14 22:00:00,47.5,20.4,24.0,328.0,28.0,14.0,28.1,90,3.9,100,0.0,3,22,8,0,74.15237280463683
2025-08-14 23:00:00,48.5,21.0,24.0,293.0,28.0,13.8,28.0,90,2.5,98,0.0,3,23,8,0,75.96830613595702
2025-08-15 00:00:00,47.5,21.0,25.0,270.0,26.4,13.0,28.0,91,1.6,98,0.0,4,0,8,0,66.23832947267343
2025-08-15 01:00:00,45.3,20.3,26.0,252.0,23.7,11.8,27.9,91,1.6,100,0.0,4,1,8,0,66.83667942415772
2025-08-15 02:00:00,43.3,19.7,27.0,244.0,21.8,11.0,27.9,91,2.3,100,0.0,4,2,8,0,66.86473702307491
2025-08-15 03:00:00,43.0,19.6,25.0,235.0,21.6,10.4,27.8,91,1.8,96,0.0,4,3,8,0,67.43833918587487
2025-08-15 04:00:00,42.1,19.7,22.0,234.0,22.3,10.2,27.8,91,3.1,100,0.0,4,4,8,0,66.59609899466261
2025-08-15 05:00:00,41.4,20.1,21.0,274.0,22.4,11.1,27.7,91,3.8,100,0.0,4,5,8,0,66.61005818853026
2025-08-15 06:00:00,42.1,21.2,23.0,398.0,21.8,14.2,27.6,92,3.6,100,0.0,4,6,8,0,67.7953914979706
2025-08-15 07:00:00,51.6,22.2,28.0,562.0,20.8,18.4,27.7,91,3.6,100,0.0,4,7,8,0,69.9921709262279
2025-08-15 08:00:00,55.4,22.3,36.0,665.0,18.9,21.9,28.1,89,4.5,100,0.0,4,8,8,0,70.81195927250766
2025-08-15 09:00:00,66.4,22.9,48.0,657.0,15.5,24.0,28.9,84,5.2,100,0.0,4,9,8,0,73.38854995480759
2025-08-15 10:00:00,71.7,24.0,64.0,588.0,11.3,25.3,29.9,77,4.3,100,0.0,4,10,8,0,77.39418639101639
2025-08-15 11:00:00,75.2,25.9,77.0,512.0,7.9,25.4,30.8,72,5.9,100,0.0,4,11,8,0,80.14216957945061
2025-08-15 12:00:00,75.9,27.5,87.0,435.0,6.0,23.5,31.1,72,8.6,100,0.0,4,12,8,0,82.52543191187209
2025-08-15 13:00:00,75.7,27.8,95.0,350.0,5.0,20.4,31.1,74,10.5,52,0.0,4,13,8,0,84.59996324239525
2025-08-15 14:00:00,72.2,26.8,98.0,297.0,4.8,18.0,31.2,73,12.3,69,0.0,4,14,8,0,84.57504473569523
2025-08-15 15:00:00,70.3,26.1,93.0,300.0,5.2,17.3,31.3,72,13.0,73,0.0,4,15,8,0,83.16235080590945
2025-08-15 16:00:00,67.8,24.7,82.0,333.0,6.4,17.4,31.2,72,13.0,34,0.0,4,16,8,0,80.1070916975972
2025-08-15 17:00:00,61.5,22.5,70.0,363.0,8.7,17.2,30.7,75,12.9,50,0.0,4,17,8,0,76.66544078258964
2025-08-15 18:00:00,51.8,20.0,56.0,381.0,13.0,16.3,29.9,79,13.2,64,0.0,4,18,8,0,72.63244352009372
2025-08-15 19:00:00,43.9,18.2,41.0,395.0,18.4,15.2,29.1,84,11.4,79,0.0,4,19,8,0,70.21362574677343
2025-08-15 20:00:00,39.5,17.4,30.0,392.0,22.5,14.4,28.7,87,8.9,91,0.0,4,20,8,0,69.43071642018703
2025-08-15 21:00:00,37.0,17.2,26.0,360.0,24.2,14.3,28.5,88,7.6,100,0.0,4,21,8,0,69.49786460399667
2025-08-15 22:00:00,35.0,17.5,26.0,311.0,24.6,14.4,28.4,89,6.4,100,0.0,4,22,8,0,70.42217752241712
2025-08-15 23:00:00,33.6,17.8,27.0,267.0,24.3,14.2,28.2,90,5.9,100,0.0,4,23,8,0,71.54044080994991
2025-08-16 00:00:00,32.0,17.8,28.0,232.0,23.1,13.2,28.1,91,5.5,100,0.0,5,0,8,0,61.64270491797713
2025-08-16 01:00:00,30.0,17.2,29.0,202.0,21.1,11.9,28.0,91,4.7,99,0.0,5,1,8,0,62.76136411148414
2025-08-16 02:00:00,28.8,16.6,29.0,186.0,19.6,11.0,27.9,91,4.3,100,0.0,5,2,8,0,63.41775760911297
2025-08-16 03:00:00,27.8,16.1,27.0,185.0,19.3,10.4,27.8,91,4.7,100,0.0,5,3,8,0,63.2107300706285
2025-08-16 04:00:00,27.2,15.8,25.0,199.0,19.4,10.3,27.7,91,4.8,100,0.0,5,4,8,0,63.20602379720786
2025-08-16 05:00:00,27.3,16.2,25.0,238.0,19.3,11.6,27.7,91,4.6,100,0.0,5,5,8,0,63.70768602602112
2025-08-16 06:00:00,28.0,17.5,27.0,330.0,18.7,15.5,27.6,91,3.9,100,0.0,5,6,8,0,64.83053956667312
2025-08-16 07:00:00,33.4,19.4,31.0,447.0,17.8,20.8,27.6,91,3.4,100,0.0,5,7,8,0,66.52974292843851
2025-08-16 08:00:00,36.6,18.8,39.0,520.0,16.3,24.9,27.9,89,4.3,100,0.0,5,8,8,0,66.5470002845577
2025-08-16 09:00:00,43.9,19.3,54.0,511.0,13.5,27.0,28.6,86,5.8,100,0.0,5,9,8,0,68.92550154487162
2025-08-16 10:00:00,57.3,22.4,72.0,457.0,10.1,28.0,29.1,82,7.2,100,0.0,5,10,8,0,74.96612653193536
2025-08-16 11:00:00,68.9,26.4,89.0,403.0,7.3,27.9,30.0,77,8.0,100,0.0,5,11,8,0,81.52066730159464
2025-08-16 12:00:00,78.9,30.4,105.0,355.0,5.6,26.3,30.5,74,9.3,100,0.0,5,12,8,0,88.56633776279388
2025-08-16 13:00:00,79.6,31.5,119.0,307.0,4.7,23.7,31.0,71,11.0,100,0.0,5,13,8,0,92.5641950544157
2025-08-16 14:00:00,76.4,30.9,123.0,280.0,4.5,21.3,31.0,71,12.7,100,0.0,5,14,8,0,93.26947442470404
2025-08-16 15:00:00,62.4,26.7,112.0,291.0,5.3,19.7,30.9,71,13.8,100,0.0,5,15,8,0,87.38668234001753
2025-08-16 16:00:00,53.6,22.8,91.0,323.0,6.8,18.4,30.7,72,13.9,100,0.0,5,16,8,0,80.53823222297126
2025-08-16 17:00:00,47.1,19.9,72.0,349.0,9.1,17.3,30.2,75,14.3,100,0.0,5,17,8,0,75.04497201719036
2025-08-16 18:00:00,42.4,17.4,56.0,364.0,12.5,16.3,29.5,79,14.6,100,0.0,5,18,8,0,70.88327286136129
2025-08-16 19:00:00,39.3,16.4,42.0,373.0,16.6,15.5,28.9,83,12.1,90,0.0,5,19,8,0,69.6080130710152
2025-08-16 20:00:00,38.9,16.5,31.0,366.0,20.0,15.2,28.5,85,9.9,87,0.0,5,20,8,0,69.40182911912109
2025-08-16 21:00:00,39.2,16.9,26.0,331.0,22.7,15.7,28.2,87,8.3,100,0.0,5,21,8,0,69.8979114790592
2025-08-16 22:00:00,38.0,17.9,25.0,281.0,24.8,16.6,28.1,87,6.9,100,0.0,5,22,8,0,70.97288937095686
2025-08-16 23:00:00,38.0,18.9,26.0,237.0,25.2,17.0,28.0,87,6.3,100,0.0,5,23,8,0,72.41311958550718
2025-08-14 00:00:00,94.8,56.3,56.0,347.0,32.3,9.4,27.1,87,11.7,100,1.0,3,0,8,1,107.66219997341345
2025-08-14 01:00:00,75.9,46.3,59.0,322.0,27.7,9.0,26.7,87,13.8,100,0.5,3,1,8,1,101.38320280469702
2025-08-14 02:00:00,77.3,47.4,62.0,315.0,24.0,8.6,26.5,87,11.5,100,0.0,3,2,8,1,106.66552881025811
2025-08-14 03:00:00,73.8,45.6,62.0,299.0,21.5,8.0,26.2,87,12.0,100,0.3,3,3,8,1,104.9768052294346
2025-08-14 04:00:00,71.5,43.2,62.0,302.0,19.9,7.6,26.0,86,11.9,100,0.0,3,4,8,1,105.22952011767123
2025-08-14 05:00:00,71.5,41.3,65.0,340.0,18.7,7.6,25.7,88,11.5,100,2.1,3,5,8,1,99.26458696366727
2025-08-14 06:00:00,74.7,41.4,72.0,452.0,18.2,8.4,25.4,89,10.5,100,3.3,3,6,8,1,99.16923708253226
2025-08-14 07:00:00,76.8,43.8,82.0,600.0,18.0,9.8,25.4,90,10.4,100,2.9,3,7,8,1,105.18979138485277
2025-08-14 08:00:00,119.7,52.4,95.0,684.0,16.9,11.2,25.8,90,11.2,100,1.1,3,8,8,1,123.20027212200137
2025-08-14 09:00:00,136.0,58.2,112.0,643.0,13.7,12.8,26.0,88,14.1,100,0.4,3,9,8,1,132.49584004623958
2025-08-14 10:00:00,145.3,60.8,132.0,539.0,9.5,14.4,26.5,87,12.9,100,1.2,3,10,8,1,136.39802497502262
2025-08-14 11:00:00,141.6,60.3,148.0,456.0,6.3,15.2,26.8,87,13.2,100,1.6,3,11,8,1,137.15827843918618
2025-08-14 12:00:00,134.1,58.2,159.0,420.0,4.7,14.7,27.1,85,13.9,100,0.7,3,12,8,1,140.25682795836184
2025-08-14 13:00:00,119.2,55.2,165.0,404.0,4.1,13.4,27.0,86,15.0,100,1.4,3,13,8,1,136.40591349099213
2025-08-14 14:00:00,119.2,55.8,165.0,414.0,5.2,12.1,27.1,86,15.3,100,0.6,3,14,8,1,140.19089706056175
2025-08-14 15:00:00,114.6,53.7,155.0,457.0,8.1,11.0,27.5,83,15.0,100,0.0,3,15,8,1,139.0592843826051
2025-08-14 16:00:00,121.1,55.4,138.0,525.0,12.6,9.8,27.6,82,15.6,100,0.0,3,16,8,1,137.9934249539831
2025-08-14 17:00:00,104.8,54.4,120.0,600.0,18.5,9.0,27.4,83,15.2,100,0.0,3,17,8,1,133.3113555758145
2025-08-14 18:00:00,110.6,58.6,101.0,690.0,26.9,8.7,27.1,84,14.0,100,0.0,3,18,8,1,134.54879576739492
2025-08-14 19:00:00,99.9,61.0,81.0,787.0,36.6,8.6,26.7,86,14.0,100,0.0,3,19,8,1,132.04163381460683
2025-08-14 20:00:00,97.1,60.3,64.0,843.0,44.5,8.6,26.2,89,14.7,100,0.0,3,20,8,1,128.43196421560094
2025-08-14 21:00:00,93.1,58.4,51.0,834.0,49.2,8.4,25.9,91,15.1,100,0.0,3,21,8,1,124.47306631279858
2025-08-14 22:00:00,93.8,58.3,41.0,785.0,52.0,8.2,25.6,90,13.3,100,0.0,3,22,8,1,124.0544416652071
2025-08-14 23:00:00,103.8,62.9,33.0,722.0,53.5,8.0,25.4,91,12.4,100,0.1,3,23,8,1,126.86954127382236
2025-08-15 00:00:00,112.0,66.6,27.0,644.0,54.3,7.7,25.2,91,10.8,100,0.0,4,0,8,1,119.43194895737759
2025-08-15 01:00:00,117.1,68.5,24.0,552.0,53.9,7.3,25.0,92,9.7,98,0.4,4,1,8,1,120.21201045796634
2025-08-15 02:00:00,119.0,68.7,25.0,475.0,50.9,6.9,24.8,92,9.5,100,1.9,4,2,8,1,116.62436346321807
2025-08-15 03:00:00,117.3,67.5,32.0,413.0,43.4,6.6,24.6,93,9.2,100,1.6,4,3,8,1,118.76724234296728
2025-08-15 04:00:00,110.6,61.9,43.0,366.0,33.4,6.3,24.5,93,9.8,100,1.5,4,4,8,1,117.31365852731778
2025-08-15 05:00:00,95.7,55.3,55.0,362.0,25.9,6.2,24.4,92,10.5,100,1.0,4,5,8,1,116.07990682754199
2025-08-15 06:00:00,72.2,43.2,66.0,440.0,23.8,6.2,24.3,93,10.2,100,1.9,4,6,8,1,106.70745793099346
2025-08-15 07:00:00,69.8,40.0,78.0,562.0,24.2,6.3,24.1,93,10.5,100,2.0,4,7,8,1,108.1488523180375
2025-08-15 08:00:00,54.9,32.9,91.0,636.0,23.2,6.9,24.2,93,10.8,100,1.3,4,8,8,1,107.58648636362395
2025-08-15 09:00:00,48.0,26.8,107.0,613.0,18.6,8.4,24.4,92,11.5,100,1.1,4,9,8,1,106.2892567135277
2025-08-15 10:00:00,53.8,29.0,124.0,543.0,12.7,10.4,24.5,92,9.7,100,3.1,4,10,8,1,105.87837926163246
2025-08-15 11:00:00,63.8,33.2,140.0,488.0,8.2,12.1,24.6,92,10.2,100,2.5,4,11,8,1,114.13692096303835
2025-08-15 12:00:00,69.8,35.4,153.0,466.0,6.4,13.1,25.1,91,10.8,100,0.8,4,12,8,1,123.48493924864307
2025-08-15 13:00:00,70.8,36.4,165.0,458.0,6.0,13.6,25.4,90,11.5,100,0.5,4,13,8,1,127.44720636298685
2025-08-15 14:00:00,72.6,38.9,172.0,474.0,6.6,14.1,25.6,88,12.3,100,0.2,4,14,8,1,131.60561358950832
2025-08-15 15:00:00,73.6,41.1,177.0,487.0,6.3,14.5,26.0,87,11.9,100,0.2,4,15,8,1,134.3993797786612
2025-08-15 16:00:00,73.8,41.3,178.0,524.0,6.8,14.8,26.3,84,12.2,100,0.0,4,16,8,1,135.6184070834876
2025-08-15 17:00:00,74.3,43.2,167.0,671.0,13.3,14.8,26.3,83,10.9,100,0.0,4,17,8,1,136.601174516763
2025-08-15 18:00:00,75.9,45.6,134.0,1036.0,32.3,14.6,26.2,85,8.1,100,0.0,4,18,8,1,135.2498287940341
